Time,W,Wh
2021/1/1 0:00,207,207
2021/1/1 1:00,177,177
2021/1/1 2:00,147,147
2021/1/1 3:00,157,157
2021/1/1 4:00,157,157
2021/1/1 5:00,167,167
2021/1/1 6:00,228,228
2021/1/1 7:00,330,330
2021/1/1 8:00,381,381
2021/1/1 9:00,391,391
2021/1/1 10:00,351,351
2021/1/1 11:00,311,311
2021/1/1 12:00,341,341
2021/1/1 13:00,341,341
2021/1/1 14:00,311,311
2021/1/1 15:00,310,310
2021/1/1 16:00,320,320
2021/1/1 17:00,331,331
2021/1/1 18:00,372,372
2021/1/1 19:00,542,542
2021/1/1 20:00,549,549
2021/1/1 21:00,509,509
2021/1/1 22:00,438,438
2021/1/1 23:00,318,318
2021/1/2 0:00,207,207
2021/1/2 1:00,177,177
2021/1/2 2:00,147,147
2021/1/2 3:00,157,157
2021/1/2 4:00,157,157
2021/1/2 5:00,167,167
2021/1/2 6:00,228,228
2021/1/2 7:00,330,330
2021/1/2 8:00,381,381
2021/1/2 9:00,391,391
2021/1/2 10:00,351,351
2021/1/2 11:00,311,311
2021/1/2 12:00,341,341
2021/1/2 13:00,341,341
2021/1/2 14:00,311,311
2021/1/2 15:00,310,310
2021/1/2 16:00,320,320
2021/1/2 17:00,331,331
2021/1/2 18:00,372,372
2021/1/2 19:00,542,542
2021/1/2 20:00,549,549
2021/1/2 21:00,509,509
2021/1/2 22:00,438,438
2021/1/2 23:00,318,318
2021/1/3 0:00,165.6,165.6
2021/1/3 1:00,141.6,141.6
2021/1/3 2:00,117.6,117.6
2021/1/3 3:00,125.6,125.6
2021/1/3 4:00,125.6,125.6
2021/1/3 5:00,133.6,133.6
2021/1/3 6:00,182.4,182.4
2021/1/3 7:00,264,264
2021/1/3 8:00,304.8,304.8
2021/1/3 9:00,312.8,312.8
2021/1/3 10:00,280.8,280.8
2021/1/3 11:00,248.8,248.8
2021/1/3 12:00,272.8,272.8
2021/1/3 13:00,272.8,272.8
2021/1/3 14:00,248.8,248.8
2021/1/3 15:00,248,248
2021/1/3 16:00,256,256
2021/1/3 17:00,264.8,264.8
2021/1/3 18:00,297.6,297.6
2021/1/3 19:00,433.6,433.6
2021/1/3 20:00,439.2,439.2
2021/1/3 21:00,407.2,407.2
2021/1/3 22:00,350.4,350.4
2021/1/3 23:00,254.4,254.4
2021/1/4 0:00,186.3,186.3
2021/1/4 1:00,159.3,159.3
2021/1/4 2:00,132.3,132.3
2021/1/4 3:00,141.3,141.3
2021/1/4 4:00,141.3,141.3
2021/1/4 5:00,150.3,150.3
2021/1/4 6:00,205.2,205.2
2021/1/4 7:00,297,297
2021/1/4 8:00,342.9,342.9
2021/1/4 9:00,351.9,351.9
2021/1/4 10:00,315.9,315.9
2021/1/4 11:00,279.9,279.9
2021/1/4 12:00,306.9,306.9
2021/1/4 13:00,306.9,306.9
2021/1/4 14:00,279.9,279.9
2021/1/4 15:00,279,279
2021/1/4 16:00,288,288
2021/1/4 17:00,297.9,297.9
2021/1/4 18:00,334.8,334.8
2021/1/4 19:00,487.8,487.8
2021/1/4 20:00,494.1,494.1
2021/1/4 21:00,458.1,458.1
2021/1/4 22:00,394.2,394.2
2021/1/4 23:00,286.2,286.2
2021/1/5 0:00,124.2,124.2
2021/1/5 1:00,106.2,106.2
2021/1/5 2:00,88.2,88.2
2021/1/5 3:00,94.2,94.2
2021/1/5 4:00,94.2,94.2
2021/1/5 5:00,100.2,100.2
2021/1/5 6:00,136.8,136.8
2021/1/5 7:00,198,198
2021/1/5 8:00,228.6,228.6
2021/1/5 9:00,234.6,234.6
2021/1/5 10:00,210.6,210.6
2021/1/5 11:00,186.6,186.6
2021/1/5 12:00,204.6,204.6
2021/1/5 13:00,204.6,204.6
2021/1/5 14:00,186.6,186.6
2021/1/5 15:00,186,186
2021/1/5 16:00,192,192
2021/1/5 17:00,198.6,198.6
2021/1/5 18:00,223.2,223.2
2021/1/5 19:00,325.2,325.2
2021/1/5 20:00,329.4,329.4
2021/1/5 21:00,305.4,305.4
2021/1/5 22:00,262.8,262.8
2021/1/5 23:00,190.8,190.8
2021/1/6 0:00,175.95,175.95
2021/1/6 1:00,150.45,150.45
2021/1/6 2:00,124.95,124.95
2021/1/6 3:00,133.45,133.45
2021/1/6 4:00,133.45,133.45
2021/1/6 5:00,141.95,141.95
2021/1/6 6:00,193.8,193.8
2021/1/6 7:00,280.5,280.5
2021/1/6 8:00,323.85,323.85
2021/1/6 9:00,332.35,332.35
2021/1/6 10:00,298.35,298.35
2021/1/6 11:00,264.35,264.35
2021/1/6 12:00,289.85,289.85
2021/1/6 13:00,289.85,289.85
2021/1/6 14:00,264.35,264.35
2021/1/6 15:00,263.5,263.5
2021/1/6 16:00,272,272
2021/1/6 17:00,281.35,281.35
2021/1/6 18:00,316.2,316.2
2021/1/6 19:00,460.7,460.7
2021/1/6 20:00,466.65,466.65
2021/1/6 21:00,432.65,432.65
2021/1/6 22:00,372.3,372.3
2021/1/6 23:00,270.3,270.3
